浓缩污泥TSS,浓缩污泥Q,上清液TSS,泥饼TSS,泥饼Q,滤液TSS,滤液Q,干固体产率,泥饼含固率,t_day,目标泥饼含固率,目标浓缩含固率,轨迹
63982.63888888889,60.84974848438584,245.11985587637955,219826.38888888893,17.35670113750343,1790.321773824961,43.49304734688241,3815.46093408105,21982.638888888894,56.10416666666666,21.982638888888893,6.398263888888889,退化
63980.90277777778,60.85758164768521,245.15068221440933,219809.02777777778,17.35983545796461,1790.3102370905779,43.4977461897206,3815.8485543973948,21980.902777777777,56.11458333333333,21.98090277777778,6.3980902777777775,退化
63979.16666666667,60.86050679172784,245.1580254062973,219791.6666666667,17.361570050260497,1790.2987057308053,43.49893674146734,3815.9284172968387,21979.166666666668,56.125,21.979166666666668,6.397916666666667,退化
63977.43055555556,60.85680259268792,245.13365073372242,219774.30555555556,17.361413632169043,1790.2871797472487,43.49538896051887,3815.592624472707,21977.430555555555,56.13541666666666,21.977430555555557,6.397743055555556,退化
63975.694444444445,60.84546911179599,245.0727794044862,219756.94444444447,17.359080629122207,1790.275659141518,43.48638848267379,3814.778517420641,21975.694444444445,56.14583333333333,21.975694444444446,6.397569444444445,退化
63973.958333333336,60.82627353842731,244.97430848133303,219739.5833333333,17.354504278621775,1790.264143915221,43.471769259805534,3813.471539140899,21973.958333333332,56.15625,21.973958333333332,6.397395833333333,退化
63972.22222222222,60.799524190101785,244.83972882281122,219722.22222222222,17.34777220298462,1790.2526340699665,43.45175198711717,3811.691059044676,21972.222222222223,56.16666666666666,21.97222222222222,6.397222222222222,退化
63970.48611111112,60.76579641326537,244.6718120246849,219704.86111111115,17.339048237303807,1790.2411296073656,43.426748175961556,3809.47318477569,21970.486111111117,56.17708333333333,21.970486111111114,6.397048611111111,退化
63968.75,60.725791479155,244.47393353067324,219687.5,17.328532184164114,1790.2296305290295,43.39725929499089,3806.8619142085536,21968.75,56.1875,21.96875,6.396875,退化
63967.01388888889,60.680190289942956,244.2493715257893,219670.13888888893,17.316418074830388,1790.218136836567,43.36377221511256,3803.899963556058,21967.013888888894,56.19791666666666,21.967013888888893,6.396701388888889,退化
63965.27777777778,60.629591288681354,244.0010092883916,219652.77777777778,17.3028764480823,1790.2066485315925,43.32671484059905,3800.6248753669665,21965.277777777777,56.20833333333333,21.96527777777778,6.396527777777778,退化
63963.541666666664,60.57459136056492,243.7317211525921,219635.4166666667,17.28807743346255,1790.1951656157173,43.286513927102376,3797.074090464145,21963.541666666668,56.21875,21.963541666666668,6.396354166666667,退化
63961.805555555555,60.51580226628916,243.4444501318947,219618.05555555556,17.27219544152358,1790.1836880905557,43.24360682476558,3793.285978042939,21961.805555555555,56.22916666666666,21.961805555555557,6.3961805555555555,退化
63960.069444444445,60.453845767481724,243.1421837972677,219600.69444444444,17.255407773589994,1790.1722159577212,43.19843799389173,3789.299530002427,21960.069444444445,56.23958333333333,21.960069444444443,6.396006944444444,退化
63958.33333333333,60.38939016999623,242.82812783059094,219583.33333333334,17.23790505364807,1790.1607492188275,43.15148511634816,3785.1566513635557,21958.333333333336,56.25,21.958333333333336,6.395833333333333,退化
63956.597222222226,60.323118141191486,242.5055516078403,219565.97222222222,17.219882044906193,1790.1492878754912,43.10323609628529,3780.900142741816,21956.597222222223,56.26041666666666,21.95659722222222,6.395659722222223,退化
63954.86111111112,60.2556874790244,242.1776006973471,219548.61111111115,17.201526451409574,1790.137831929327,43.054161027614825,3776.5712413980123,21954.861111111117,56.27083333333333,21.954861111111114,6.395486111111111,退化
63953.12500000001,60.18778267058675,241.84754239854362,219531.25,17.18303363567952,1790.1263813819512,43.00474903490722,3772.21285283277,21953.125,56.28125,21.953125,6.3953125,退化
63951.38888888888,60.12026817989824,241.51949506253953,219513.8888888889,17.164650385172703,1790.1149362349818,42.95561779472553,3767.8791574674246,21951.38888888889,56.29166666666666,21.95138888888889,6.395138888888889,退化
63949.65277777778,60.05425103409655,241.19872403075988,219496.52777777778,17.146692795255298,1790.1034964900366,42.907558238841254,3763.6395314307765,21949.652777777777,56.30208333333333,21.94965277777778,6.394965277777778,退化
63947.916666666664,59.99099009395103,240.8912078699161,219479.16666666666,17.129520380779784,1790.092062148733,42.861469713171246,3759.5728585732295,21947.916666666664,56.3125,21.947916666666664,6.394791666666666,退化
63946.18055555556,59.93198344510261,240.60405315870528,219461.80555555556,17.113561041917528,1790.080633212691,42.818422403185075,3755.7730057444355,21946.180555555555,56.32291666666666,21.946180555555557,6.394618055555556,退化
63944.444444444445,59.8788939572704,240.34513989671166,219444.44444444444,17.099289824284018,1790.0692096835303,42.779604132986385,3752.344155884548,21944.444444444445,56.33333333333333,21.944444444444443,6.394444444444445,退化
63942.708333333336,59.83329681988299,240.12192287947946,219427.08333333334,17.087156832578906,1790.0577915628699,42.74613998730408,3749.384986232028,21942.708333333336,56.34375,21.942708333333336,6.394270833333334,退化
63940.97222222223,59.79683033569292,239.94215184400377,219409.72222222225,17.07763028990583,1790.0463788523332,42.71920004578708,3746.998118122047,21940.972222222226,56.35416666666666,21.940972222222225,6.394097222222222,退化
63939.23611111111,59.77117764229067,239.8137881849188,219392.3611111111,17.07119132199228,1790.0349715535394,42.699986320298386,3745.288971111396,21939.23611111111,56.36458333333333,21.93923611111111,6.393923611111111,退化
63937.50000000001,59.75799487041435,239.74466841377216,219375.0,17.068313440850485,1790.023569668112,42.68968142956386,3744.3612610865753,21937.5,56.375,21.9375,6.39375,退化
63935.76388888888,59.759496247336315,239.74528852442918,219357.6388888889,17.069629671030008,1790.0121731976735,42.68986657630631,3744.353661344864,21935.76388888889,56.38541666666666,21.93576388888889,6.393576388888889,退化
63934.02777777778,59.77798258634761,239.82657212476758,219340.27777777778,17.0757979024089,1790.0007821438487,42.70218468393871,3745.4102551915635,21934.027777777777,56.39583333333333,21.93402777777778,6.393402777777778,退化
63932.29166666668,59.81385249924534,239.9904336788981,219322.91666666666,17.086932762756405,1789.9893965082608,42.726919736488945,3747.555930414959,21932.291666666664,56.40625,21.932291666666664,6.393229166666667,退化
63930.555555555555,59.86472476119263,240.22560627484484,219305.55555555556,17.10235475074441,1789.978016292533,42.76237001044822,3750.641409920198,21930.555555555555,56.41666666666666,21.930555555555557,6.393055555555556,退化
63928.81944444445,59.92638853607966,240.51213529749091,219288.19444444447,17.12086150710775,1789.9666414982942,42.805527028971916,3754.402807227049,21928.819444444445,56.42708333333333,21.928819444444446,6.3928819444444445,退化
63927.083333333336,59.99412762124061,240.8276482654026,219270.8333333333,17.141106032651905,1789.9552721271689,42.8530215885887,3758.54460403461,21927.083333333332,56.4375,21.927083333333332,6.392708333333333,退化
63925.347222222226,60.063709204227955,241.15204288650696,219253.47222222225,17.161879166020267,1789.9439081807832,42.90183003820769,3762.801597008159,21925.347222222226,56.44791666666666,21.925347222222225,6.392534722222223,退化
63923.61111111111,60.13185924753865,241.46974862645138,219236.1111111111,17.182245457273407,1789.9325496607667,42.949613790265246,3766.9686742091767,21923.61111111111,56.45833333333333,21.92361111111111,6.392361111111111,退化
63921.875,60.1963279101995,241.77004661392866,219218.75,17.20156193378572,1789.9211965687455,42.99476597641378,3770.904905172088,21921.875,56.46875,21.921875,6.3921875,退化
63920.1388888889,60.255792249910556,242.04661715948876,219201.3888888889,17.21945037126614,1789.9098489063495,43.036341878644414,3774.527437284832,21920.13888888889,56.47916666666666,21.92013888888889,6.392013888888889,退化
63918.40277777778,60.30967364795278,242.29667965860847,219184.02777777778,17.235745184972227,1789.898506675207,43.07392846298055,3777.800051393652,21918.402777777777,56.48958333333333,21.91840277777778,6.391840277777778,退化
63916.666666666664,60.35790900266118,242.5199091555324,219166.6666666667,17.250428091612278,1789.8871698769492,43.1074809110489,3780.7188234116916,21916.666666666668,56.5,21.916666666666668,6.391666666666667,退化
63914.930555555555,60.40081126849328,242.7177754900779,219149.30555555556,17.263588287353155,1789.8758385132073,43.13722298114013,3783.3033845704667,21914.930555555555,56.51041666666666,21.914930555555557,6.391493055555555,退化
63913.19444444446,60.43893497306854,242.89290413030974,219131.94444444447,17.275384036258714,1789.8645125856124,43.16355093680983,3785.5884948898874,21913.194444444445,56.52083333333333,21.913194444444446,6.391319444444445,退化
63911.45833333333,60.472935449308096,243.04840555102513,219114.5833333333,17.2860024502137,1789.853192095794,43.186932999094395,3787.615224377554,21911.458333333332,56.53125,21.911458333333332,6.391145833333333,退化
63909.72222222223,60.5035184703556,243.1876347085448,219097.22222222225,17.295645098986654,1789.8418770453882,43.20787337136895,3789.4277977293677,21909.722222222226,56.54166666666666,21.909722222222225,6.3909722222222225,退化
63907.98611111111,60.531392281574085,243.31396170287073,219079.8611111111,17.304514301065716,1789.830567436026,43.22687798050837,3791.0705896727127,21907.98611111111,56.55208333333333,21.90798611111111,6.390798611111111,退化
63906.24999999999,60.55720363464228,243.43046602565255,219062.5,17.312794836545873,1789.8192632693433,43.2444087980964,3792.5841188808304,21906.25,56.5625,21.90625,6.390625,退化
63904.51388888889,60.58153475273809,243.53992141209363,219045.13888888893,17.320653074893123,1789.807964546975,43.26088167784496,3794.0048584362253,21904.513888888894,56.57291666666666,21.904513888888893,6.390451388888889,退化
63902.777777777774,60.60488976244778,243.64473059301204,219027.77777777778,17.3282330907471,1789.7966712705536,43.27665667170068,3795.364386681692,21902.777777777777,56.58333333333333,21.90277777777778,6.3902777777777775,退化
63901.04166666667,60.62766835796337,243.74679920896497,219010.4166666667,17.33564912775685,1789.7853834417174,43.29201923020652,3796.6877386571646,21901.041666666668,56.59375,21.901041666666668,6.390104166666667,退化
63899.30555555557,60.65017883859347,243.8475976420713,218993.05555555556,17.342989318904436,1789.7741010621025,43.30718951968903,3797.994223414246,21899.305555555555,56.60416666666666,21.899305555555557,6.389930555555556,退化
63897.569444444445,60.67264199252643,243.948179263715,218975.69444444447,17.350316790329313,1789.7628241333462,43.32232520219711,3799.297667993466,21897.569444444445,56.61458333333333,21.897569444444446,6.389756944444445,退化
63895.833333333336,60.695173277869884,244.04909513107145,218958.3333333333,17.357664558930775,1789.7515526570867,43.337508718939105,3800.6053023825507,21895.833333333332,56.625,21.895833333333332,6.389583333333333,退化
