t_day,cake_solids_pct,target_pct,wet_cake_m3d,filtrate_m3d,filtrate_tss,dry_solids_kgd,overflow_tss,thickened_pct,track
31.85416667,28.00000000,28.00000000,13.50819042,41.62728067,1854.30463576,3782.29331635,238.77971648,7.00000000,degraded
31.86458333,28.00000000,28.00000000,13.51476792,41.64755011,1854.30463576,3784.13501688,238.91542956,7.00000000,degraded
31.87500000,28.00000000,28.00000000,13.52052154,41.66528067,1854.30463576,3785.74603212,239.03416178,7.00000000,degraded
31.88541667,28.00000000,28.00000000,13.52544432,41.68045086,1854.30463576,3787.12440925,239.13576194,7.00000000,degraded
31.89583333,28.00000000,28.00000000,13.52959763,41.69324983,1854.30463576,3788.28733583,239.22149088,7.00000000,degraded
31.90625000,28.00000000,28.00000000,13.53308187,41.70398697,1854.30463576,3789.26292231,239.29341622,7.00000000,degraded
31.91666667,28.00000000,28.00000000,13.53602587,41.71305931,1854.30463576,3790.08724352,239.35419433,7.00000000,degraded
31.92708333,28.00000000,28.00000000,13.53857286,41.72090820,1854.30463576,3790.80040036,239.40677975,7.00000000,degraded
31.93750000,28.00000000,28.00000000,13.54085939,41.72795444,1854.30463576,3791.44062836,239.45399050,7.00000000,degraded
31.94791667,28.00000000,28.00000000,13.54301243,41.73458932,1854.30463576,3792.04347966,239.49844751,7.00000000,degraded
31.95833333,28.00000000,28.00000000,13.54514285,41.74115448,1854.30463576,3792.63999682,239.54243975,7.00000000,degraded
31.96875000,28.00000000,28.00000000,13.54733581,41.74791240,1854.30463576,3793.25402741,239.58772600,7.00000000,degraded
31.97916667,28.00000000,28.00000000,13.54965447,41.75505764,1854.30463576,3793.90325032,239.63561045,7.00000000,degraded
31.98958333,28.00000000,28.00000000,13.55214179,41.76272266,1854.30463576,3794.59970151,239.68698135,7.00000000,degraded
32.00000000,28.00000000,28.00000000,13.55481855,41.77097144,1854.30463576,3795.34919269,239.74226806,7.00000000,degraded
32.01041667,28.00000000,28.00000000,13.55768662,41.77980977,1854.30463576,3796.15225240,239.80151035,7.00000000,degraded
32.02083333,28.00000000,28.00000000,13.56073477,41.78920307,1854.30463576,3797.00573626,239.86447709,7.00000000,degraded
32.03125000,28.00000000,28.00000000,13.56394471,41.79909491,1854.30463576,3797.90451767,239.93079084,7.00000000,degraded
32.04166667,28.00000000,28.00000000,13.56725402,41.80929299,1854.30463576,3798.83112450,239.99916312,7.00000000,degraded
32.05208333,28.00000000,28.00000000,13.57037104,41.81889852,1854.30463576,3799.70389177,240.06356782,7.00000000,degraded
32.06250000,28.00000000,28.00000000,13.57271968,41.82613615,1854.30463576,3800.36150942,240.11209913,7.00000000,degraded
32.07291667,28.00000000,28.00000000,13.57361345,41.82889043,1854.30463576,3800.61176611,240.13056848,7.00000000,degraded
32.08333333,28.00000000,28.00000000,13.57245919,41.82533341,1854.30463576,3800.28857230,240.10671633,7.00000000,degraded
32.09375000,28.00000000,28.00000000,13.56889388,41.81434645,1854.30463576,3799.29028702,240.03304579,7.00000000,degraded
32.10416667,28.00000000,28.00000000,13.56281147,41.79560268,1854.30463576,3797.58721034,239.90737872,7.00000000,degraded
32.11458333,28.00000000,28.00000000,13.55432238,41.76944244,1854.30463576,3795.21026707,239.73201984,7.00000000,degraded
32.12500000,28.00000000,28.00000000,13.54369799,41.73670196,1854.30463576,3792.23543629,239.51260377,7.00000000,degraded
32.13541667,28.00000000,28.00000000,13.53130563,41.69851327,1854.30463576,3788.76557641,239.25674850,7.00000000,degraded
32.14583333,28.00000000,28.00000000,13.51755161,41.65612843,1854.30463576,3784.91445038,238.97287189,7.00000000,degraded
32.15625000,28.00000000,28.00000000,13.50283941,41.61079083,1854.30463576,3780.79503441,238.66932587,7.00000000,degraded
32.16666667,28.00000000,28.00000000,13.48752705,41.56360376,1854.30463576,3776.50757329,238.35351451,7.00000000,degraded
32.17708333,28.00000000,28.00000000,13.47190315,41.51545665,1854.30463576,3772.13288220,238.03140114,7.00000000,degraded
