file,method,quantile,events,hits,fp_events,healthy_hours,alarm_healthy,recall,fp_per_hour,tia,delay
other\4.csv,F2,0.9,1,0,1,0.08777777777777777,307.0,0.0,11.39240506329114,0.9715189873417721,
other\4.csv,F2,0.99,1,0,1,0.08777777777777777,307.0,0.0,11.39240506329114,0.9715189873417721,
other\4.csv,F2,0.995,1,0,1,0.08777777777777777,307.0,0.0,11.39240506329114,0.9715189873417721,
other\4.csv,F2,0.999,1,0,1,0.08777777777777777,307.0,0.0,11.39240506329114,0.9715189873417721,
other\4.csv,F3,0.9,1,0,0,0.08777777777777777,0.0,0.0,0.0,0.0,
other\4.csv,F3,0.99,1,0,0,0.08777777777777777,0.0,0.0,0.0,0.0,
other\4.csv,F3,0.995,1,0,0,0.08777777777777777,0.0,0.0,0.0,0.0,
other\4.csv,F3,0.999,1,0,0,0.08777777777777777,0.0,0.0,0.0,0.0,
other\5.csv,F0,0.9,1,1,1,0.07361111111111111,68.0,1.0,13.584905660377357,0.25660377358490566,9.0
other\5.csv,F0,0.99,1,1,1,0.07361111111111111,52.00000000000001,1.0,13.584905660377357,0.19622641509433963,9.0
other\5.csv,F0,0.995,1,1,1,0.07361111111111111,52.00000000000001,1.0,13.584905660377357,0.19622641509433963,9.0
other\5.csv,F0,0.999,1,1,1,0.07361111111111111,52.00000000000001,1.0,13.584905660377357,0.19622641509433963,9.0
other\5.csv,F2,0.9,1,1,0,0.07361111111111111,173.0,1.0,0.0,0.6528301886792452,9.0
other\5.csv,F2,0.99,1,1,0,0.07361111111111111,0.0,1.0,0.0,0.0,9.0
other\5.csv,F2,0.995,1,1,0,0.07361111111111111,0.0,1.0,0.0,0.0,9.0
other\5.csv,F2,0.999,1,1,1,0.07361111111111111,118.00000000000001,1.0,13.584905660377357,0.44528301886792454,9.0
other\5.csv,F3,0.9,1,1,1,0.07361111111111111,159.0,1.0,13.584905660377357,0.6,37.0
other\5.csv,F3,0.99,1,1,1,0.07361111111111111,157.0,1.0,13.584905660377357,0.5924528301886792,43.0
other\5.csv,F3,0.995,1,1,1,0.07361111111111111,157.0,1.0,13.584905660377357,0.5924528301886792,51.0
other\5.csv,F3,0.999,1,1,1,0.07361111111111111,157.0,1.0,13.584905660377357,0.5924528301886792,57.0
other\6.csv,F0,0.9,1,1,0,0.07361111111111111,129.0,1.0,0.0,0.4867924528301887,9.0
other\6.csv,F0,0.99,1,1,0,0.07361111111111111,20.0,1.0,0.0,0.07547169811320754,10.0
other\6.csv,F0,0.995,1,0,0,0.07361111111111111,0.0,0.0,0.0,0.0,
other\6.csv,F0,0.999,1,0,0,0.07361111111111111,0.0,0.0,0.0,0.0,
other\6.csv,F2,0.9,1,1,1,0.07361111111111111,37.0,1.0,13.584905660377357,0.13962264150943396,10.0
other\6.csv,F2,0.99,1,1,1,0.07361111111111111,35.0,1.0,13.584905660377357,0.1320754716981132,10.0
other\6.csv,F2,0.995,1,0,1,0.07361111111111111,19.0,0.0,13.584905660377357,0.07169811320754717,
other\6.csv,F2,0.999,1,0,1,0.07361111111111111,19.0,0.0,13.584905660377357,0.07169811320754717,
other\6.csv,F3,0.9,1,1,1,0.07361111111111111,111.0,1.0,13.584905660377357,0.4188679245283019,-40.0
other\6.csv,F3,0.99,1,1,1,0.07361111111111111,111.0,1.0,13.584905660377357,0.4188679245283019,-38.0
other\6.csv,F3,0.995,1,1,1,0.07361111111111111,111.0,1.0,13.584905660377357,0.4188679245283019,-38.0
other\6.csv,F3,0.999,1,1,1,0.07361111111111111,111.0,1.0,13.584905660377357,0.4188679245283019,-38.0
other\7.csv,F0,0.9,1,1,0,0.07305555555555555,171.0,1.0,0.0,0.6501901140684411,10.0
other\7.csv,F0,0.99,1,1,0,0.07305555555555555,0.0,1.0,0.0,0.0,10.0
other\7.csv,F0,0.995,1,1,0,0.07305555555555555,0.0,1.0,0.0,0.0,10.0
other\7.csv,F0,0.999,1,1,0,0.07305555555555555,0.0,1.0,0.0,0.0,10.0
other\7.csv,F2,0.9,1,0,1,0.07305555555555555,245.99999999999997,0.0,13.688212927756654,0.935361216730038,
other\7.csv,F2,0.99,1,0,1,0.07305555555555555,244.99999999999997,0.0,13.688212927756654,0.9315589353612167,
other\7.csv,F2,0.995,1,1,1,0.07305555555555555,208.0,1.0,13.688212927756654,0.7908745247148289,272.0
other\7.csv,F2,0.999,1,1,1,0.07305555555555555,208.0,1.0,13.688212927756654,0.7908745247148289,272.0
other\7.csv,F3,0.9,1,1,0,0.07305555555555555,0.0,1.0,0.0,0.0,288.0
other\7.csv,F3,0.99,1,1,0,0.07305555555555555,0.0,1.0,0.0,0.0,293.0
other\7.csv,F3,0.995,1,1,0,0.07305555555555555,0.0,1.0,0.0,0.0,293.0
other\7.csv,F3,0.999,1,1,0,0.07305555555555555,0.0,1.0,0.0,0.0,293.0
other\8.csv,F0,0.9,1,0,1,0.07333333333333333,166.0,0.0,13.636363636363637,0.6287878787878788,
other\8.csv,F0,0.99,1,0,1,0.07333333333333333,41.0,0.0,13.636363636363637,0.1553030303030303,
other\8.csv,F0,0.995,1,0,1,0.07333333333333333,36.99999999999999,0.0,13.636363636363637,0.14015151515151514,
other\8.csv,F0,0.999,1,0,0,0.07333333333333333,0.0,0.0,0.0,0.0,
other\8.csv,F2,0.9,1,0,1,0.07333333333333333,240.0,0.0,13.636363636363637,0.9090909090909091,
other\8.csv,F2,0.99,1,0,1,0.07333333333333333,240.0,0.0,13.636363636363637,0.9090909090909091,
other\8.csv,F2,0.995,1,0,1,0.07333333333333333,240.0,0.0,13.636363636363637,0.9090909090909091,
other\8.csv,F2,0.999,1,0,1,0.07333333333333333,240.0,0.0,13.636363636363637,0.9090909090909091,
other\8.csv,F3,0.9,1,1,1,0.07333333333333333,15.0,1.0,13.636363636363637,0.056818181818181816,101.0
other\8.csv,F3,0.99,1,0,1,0.07333333333333333,4.0,0.0,13.636363636363637,0.015151515151515152,
other\8.csv,F3,0.995,1,0,1,0.07333333333333333,4.0,0.0,13.636363636363637,0.015151515151515152,
other\8.csv,F3,0.999,1,0,1,0.07333333333333333,3.0,0.0,13.636363636363637,0.011363636363636364,
other\9.csv,F0,0.9,1,1,0,0.07305555555555555,171.0,1.0,0.0,0.6501901140684411,12.0
other\9.csv,F0,0.99,1,1,0,0.07305555555555555,0.0,1.0,0.0,0.0,13.0
other\9.csv,F0,0.995,1,1,0,0.07305555555555555,0.0,1.0,0.0,0.0,13.0
other\9.csv,F0,0.999,1,0,0,0.07305555555555555,0.0,0.0,0.0,0.0,
other\9.csv,F2,0.9,1,1,0,0.07305555555555555,0.0,1.0,0.0,0.0,54.0
other\9.csv,F2,0.99,1,1,0,0.07305555555555555,0.0,1.0,0.0,0.0,54.0
other\9.csv,F2,0.995,1,1,0,0.07305555555555555,0.0,1.0,0.0,0.0,54.0
other\9.csv,F2,0.999,1,1,0,0.07305555555555555,0.0,1.0,0.0,0.0,93.0
other\9.csv,F3,0.9,1,1,0,0.07305555555555555,0.0,1.0,0.0,0.0,67.0
other\9.csv,F3,0.99,1,0,0,0.07305555555555555,0.0,0.0,0.0,0.0,
other\9.csv,F3,0.995,1,0,0,0.07305555555555555,0.0,0.0,0.0,0.0,
other\9.csv,F3,0.999,1,0,0,0.07305555555555555,0.0,0.0,0.0,0.0,
valve1\0.csv,F0,0.9,1,0,0,0.07388888888888889,0.0,0.0,0.0,0.0,
valve1\0.csv,F0,0.99,1,0,0,0.07388888888888889,0.0,0.0,0.0,0.0,
valve1\0.csv,F0,0.995,1,0,0,0.07388888888888889,0.0,0.0,0.0,0.0,
valve1\0.csv,F0,0.999,1,0,0,0.07388888888888889,0.0,0.0,0.0,0.0,
valve1\0.csv,F2,0.9,1,1,1,0.07388888888888889,114.00000000000001,1.0,13.533834586466165,0.42857142857142855,-40.0
valve1\0.csv,F2,0.99,1,1,0,0.07388888888888889,0.0,1.0,0.0,0.0,237.0
valve1\0.csv,F2,0.995,1,1,0,0.07388888888888889,0.0,1.0,0.0,0.0,237.0
valve1\0.csv,F2,0.999,1,0,0,0.07388888888888889,0.0,0.0,0.0,0.0,
valve1\0.csv,F3,0.9,1,1,1,0.07388888888888889,45.0,1.0,13.533834586466165,0.16917293233082706,103.0
valve1\0.csv,F3,0.99,1,1,0,0.07388888888888889,0.0,1.0,0.0,0.0,116.0
valve1\0.csv,F3,0.995,1,1,0,0.07388888888888889,0.0,1.0,0.0,0.0,116.0
valve1\0.csv,F3,0.999,1,1,0,0.07388888888888889,0.0,1.0,0.0,0.0,116.0
valve1\1.csv,F0,0.9,1,0,0,0.07305555555555555,0.0,0.0,0.0,0.0,
valve1\1.csv,F0,0.99,1,0,0,0.07305555555555555,0.0,0.0,0.0,0.0,
valve1\1.csv,F0,0.995,1,0,0,0.07305555555555555,0.0,0.0,0.0,0.0,
valve1\1.csv,F0,0.999,1,0,0,0.07305555555555555,0.0,0.0,0.0,0.0,
valve1\1.csv,F2,0.9,1,0,2,0.07305555555555555,216.0,0.0,27.376425855513308,0.8212927756653993,
valve1\1.csv,F2,0.99,1,1,0,0.07305555555555555,0.0,1.0,0.0,0.0,244.0
valve1\1.csv,F2,0.995,1,0,0,0.07305555555555555,0.0,0.0,0.0,0.0,
valve1\1.csv,F2,0.999,1,0,0,0.07305555555555555,0.0,0.0,0.0,0.0,
valve1\1.csv,F3,0.9,1,1,0,0.07305555555555555,9.0,1.0,0.0,0.034220532319391636,349.0
valve1\1.csv,F3,0.99,1,0,0,0.07305555555555555,0.0,0.0,0.0,0.0,
valve1\1.csv,F3,0.995,1,0,0,0.07305555555555555,0.0,0.0,0.0,0.0,
valve1\1.csv,F3,0.999,1,0,0,0.07305555555555555,0.0,0.0,0.0,0.0,
valve1\10.csv,F0,0.9,1,0,0,0.07361111111111111,0.0,0.0,0.0,0.0,
valve1\10.csv,F0,0.99,1,0,0,0.07361111111111111,0.0,0.0,0.0,0.0,
valve1\10.csv,F0,0.995,1,0,0,0.07361111111111111,0.0,0.0,0.0,0.0,
valve1\10.csv,F0,0.999,1,0,0,0.07361111111111111,0.0,0.0,0.0,0.0,
valve1\10.csv,F2,0.9,1,1,0,0.07361111111111111,0.0,1.0,0.0,0.0,120.0
valve1\10.csv,F2,0.99,1,0,1,0.07361111111111111,67.0,0.0,13.584905660377357,0.2528301886792453,
valve1\10.csv,F2,0.995,1,0,1,0.07361111111111111,67.0,0.0,13.584905660377357,0.2528301886792453,
valve1\10.csv,F2,0.999,1,0,0,0.07361111111111111,0.0,0.0,0.0,0.0,
valve1\10.csv,F3,0.9,1,1,0,0.07361111111111111,0.0,1.0,0.0,0.0,15.0
valve1\10.csv,F3,0.99,1,1,0,0.07361111111111111,0.0,1.0,0.0,0.0,24.0
valve1\10.csv,F3,0.995,1,1,0,0.07361111111111111,0.0,1.0,0.0,0.0,25.0
valve1\10.csv,F3,0.999,1,1,0,0.07361111111111111,0.0,1.0,0.0,0.0,26.0
valve1\11.csv,F0,0.9,1,0,0,0.07277777777777777,0.0,0.0,0.0,0.0,
valve1\11.csv,F0,0.99,1,0,0,0.07277777777777777,0.0,0.0,0.0,0.0,
valve1\11.csv,F0,0.995,1,0,0,0.07277777777777777,0.0,0.0,0.0,0.0,
