file,method,quantile,recall,fp_per_hour,tia,delay
other\8.csv,F2,0.995,0.0,13.636363636363637,0.9431818181818182,
other\8.csv,F2,0.999,0.0,13.636363636363637,0.9431818181818182,
other\8.csv,F3,0.9,1.0,13.636363636363637,0.09090909090909091,92.0
other\8.csv,F3,0.99,0.0,13.636363636363637,0.04924242424242424,
other\8.csv,F3,0.995,0.0,13.636363636363637,0.04924242424242424,
other\8.csv,F3,0.999,0.0,13.636363636363637,0.045454545454545456,
other\9.csv,F0,0.9,1.0,0.0,0.20912547528517111,3.0
other\9.csv,F0,0.99,1.0,0.0,0.0,4.0
other\9.csv,F0,0.995,1.0,0.0,0.0,4.0
other\9.csv,F0,0.999,0.0,0.0,0.0,
other\9.csv,F2,0.9,1.0,0.0,0.0,45.0
other\9.csv,F2,0.99,1.0,0.0,0.0,45.0
other\9.csv,F2,0.995,1.0,0.0,0.0,45.0
other\9.csv,F2,0.999,1.0,0.0,0.0,84.0
other\9.csv,F3,0.9,1.0,0.0,0.2889733840304182,58.0
other\9.csv,F3,0.99,0.0,0.0,0.0,
other\9.csv,F3,0.995,0.0,0.0,0.0,
other\9.csv,F3,0.999,0.0,0.0,0.0,
valve1\0.csv,F0,0.9,0.0,0.0,0.0,
valve1\0.csv,F0,0.99,0.0,0.0,0.0,
valve1\0.csv,F0,0.995,0.0,0.0,0.0,
valve1\0.csv,F0,0.999,0.0,0.0,0.0,
valve1\0.csv,F2,0.9,1.0,13.533834586466165,0.49624060150375937,-49.0
valve1\0.csv,F2,0.99,1.0,0.0,0.0,228.0
valve1\0.csv,F2,0.995,1.0,0.0,0.0,228.0
valve1\0.csv,F2,0.999,0.0,0.0,0.0,
valve1\0.csv,F3,0.9,1.0,13.533834586466165,0.16917293233082706,94.0
valve1\0.csv,F3,0.99,1.0,0.0,0.0,107.0
valve1\0.csv,F3,0.995,1.0,0.0,0.0,107.0
valve1\0.csv,F3,0.999,1.0,0.0,0.0,107.0
valve1\1.csv,F0,0.9,0.0,0.0,0.0,
valve1\1.csv,F0,0.99,0.0,0.0,0.0,
valve1\1.csv,F0,0.995,0.0,0.0,0.0,
valve1\1.csv,F0,0.999,0.0,0.0,0.0,
valve1\1.csv,F2,0.9,1.0,13.688212927756654,0.5627376425855514,390.0
valve1\1.csv,F2,0.99,1.0,0.0,0.0,235.0
valve1\1.csv,F2,0.995,0.0,0.0,0.0,
valve1\1.csv,F2,0.999,0.0,0.0,0.0,
