cal_mode,file,method,quantile,recall,fp_per_hour,delay,time_in_alarm
mid,other\7.csv,F2,0.99,1.0,18.181818181818183,-3.0,0.8787878787878788
mid,other\7.csv,F2,0.995,1.0,18.181818181818183,-3.0,0.8787878787878788
mid,other\7.csv,F2,0.999,1.0,18.181818181818183,-3.0,0.8787878787878788
mid,other\7.csv,F3,0.9,1.0,18.181818181818183,273.0,0.0
mid,other\7.csv,F3,0.99,1.0,0.0,122.0,0.0
mid,other\7.csv,F3,0.995,1.0,0.0,122.0,0.0
mid,other\7.csv,F3,0.999,1.0,0.0,123.0,0.0
mid,other\8.csv,F0,0.9,1.0,0.0,399.0,1.0
mid,other\8.csv,F0,0.99,1.0,0.0,400.0,0.23837209302325582
mid,other\8.csv,F0,0.995,1.0,0.0,400.0,0.22674418604651161
mid,other\8.csv,F0,0.999,0.0,0.0,,0.0
mid,other\8.csv,F2,0.9,1.0,20.930232558139533,0.0,1.0
mid,other\8.csv,F2,0.99,1.0,20.930232558139533,0.0,1.0
mid,other\8.csv,F2,0.995,1.0,20.930232558139533,0.0,1.0
mid,other\8.csv,F2,0.999,1.0,20.930232558139533,0.0,1.0
mid,other\8.csv,F3,0.9,1.0,41.860465116279066,195.0,0.16279069767441862
mid,other\8.csv,F3,0.99,1.0,20.930232558139533,95.0,0.09302325581395349
mid,other\8.csv,F3,0.995,1.0,20.930232558139533,97.0,0.08139534883720931
mid,other\8.csv,F3,0.999,1.0,20.930232558139533,97.0,0.0755813953488372
mid,other\9.csv,F0,0.9,1.0,0.0,3.0,0.3216374269005848
mid,other\9.csv,F0,0.99,1.0,0.0,4.0,0.0
mid,other\9.csv,F0,0.995,1.0,0.0,4.0,0.0
mid,other\9.csv,F0,0.999,0.0,0.0,,0.0
mid,other\9.csv,F2,0.9,1.0,21.05263157894737,45.0,0.0
mid,other\9.csv,F2,0.99,1.0,0.0,45.0,0.0
mid,other\9.csv,F2,0.995,1.0,0.0,45.0,0.0
mid,other\9.csv,F2,0.999,1.0,0.0,84.0,0.0
mid,other\9.csv,F3,0.9,1.0,21.05263157894737,-44.0,0.3391812865497076
mid,other\9.csv,F3,0.99,0.0,21.05263157894737,,0.39766081871345027
mid,other\9.csv,F3,0.995,0.0,21.05263157894737,,0.36257309941520466
mid,other\9.csv,F3,0.999,0.0,21.05263157894737,,0.3216374269005848
mid,valve1\0.csv,F0,0.9,0.0,0.0,,0.0
mid,valve1\0.csv,F0,0.99,0.0,0.0,,0.0
mid,valve1\0.csv,F0,0.995,0.0,0.0,,0.0
mid,valve1\0.csv,F0,0.999,0.0,0.0,,0.0
mid,valve1\0.csv,F2,0.9,1.0,0.0,174.0,0.5491329479768786
mid,valve1\0.csv,F2,0.99,1.0,0.0,228.0,0.0
mid,valve1\0.csv,F2,0.995,1.0,0.0,228.0,0.0
mid,valve1\0.csv,F2,0.999,0.0,0.0,,0.0
mid,valve1\0.csv,F3,0.9,1.0,20.809248554913296,248.0,0.0
mid,valve1\0.csv,F3,0.99,1.0,0.0,104.0,0.0
mid,valve1\0.csv,F3,0.995,1.0,0.0,105.0,0.0
mid,valve1\0.csv,F3,0.999,1.0,0.0,105.0,0.0
mid,valve1\1.csv,F0,0.9,0.0,0.0,,0.0
mid,valve1\1.csv,F0,0.99,0.0,0.0,,0.0
mid,valve1\1.csv,F0,0.995,0.0,0.0,,0.0
mid,valve1\1.csv,F0,0.999,0.0,0.0,,0.0
mid,valve1\1.csv,F2,0.9,0.0,63.1578947368421,,0.23976608187134502
mid,valve1\1.csv,F2,0.99,0.0,21.05263157894737,,0.0
mid,valve1\1.csv,F2,0.995,0.0,21.05263157894737,,0.0
mid,valve1\1.csv,F2,0.999,0.0,21.05263157894737,,0.0
mid,valve1\1.csv,F3,0.9,1.0,21.05263157894737,221.0,0.40350877192982454
mid,valve1\1.csv,F3,0.99,1.0,0.0,226.0,0.0
mid,valve1\1.csv,F3,0.995,1.0,0.0,226.0,0.0
mid,valve1\1.csv,F3,0.999,1.0,0.0,226.0,0.0
mid,valve1\10.csv,F0,0.9,0.0,0.0,,0.0
mid,valve1\10.csv,F0,0.99,0.0,0.0,,0.0
mid,valve1\10.csv,F0,0.995,0.0,0.0,,0.0
mid,valve1\10.csv,F0,0.999,0.0,0.0,,0.0
